DisplayName;Username;Department;BusinessRole;Roles;AccountType;LastLogin;Email;Manager
Salvatore Apicella;salvatore.apicella;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,BIP_STRATEGY_LEAD,INF_IAM_ADMIN,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Administrative;2025-09-08T19:47:25Z;salvatore.apicella@bip.internal;Salvatore Apicella
Stefano Maffei;stefano.maffei;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-10T15:34:25Z;stefano.maffei@bip.internal;Stefano Maffei
Gianluca Leone;gianluca.leone;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-13T23:42:25Z;gianluca.leone@bip.internal;Gianluca Leone
Micol Marani;micol.marani;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-08-28T22:51:25Z;micol.marani@bip.internal;Micol Marani
Santo Corrado;santo.corrado;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-02T20:11:25Z;santo.corrado@bip.internal;Salvatore Apicella
Empio Simone;empio.simone;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-11-02T21:47:25Z;empio.simone@bip.internal;Stefano Maffei
Samuele Battistoni;samuele.battistoni;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-26T16:34:25Z;samuele.battistoni@bip.internal;Gianluca Leone
Antonio Ricci;antonio.ricci;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-10-12T03:47:25Z;antonio.ricci@bip.internal;Micol Marani
Alessandro Rossi;alessandro.rossi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-28T16:03:25Z;alessandro.rossi@bip.internal;Salvatore Apicella
Alessandro Bianchi;alessandro.bianchi;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;External;2025-09-05T00:14:25Z;alessandro.bianchi@bip.internal;Stefano Maffei
Alessandro Esposito;alessandro.esposito;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-03T15:20:25Z;alessandro.esposito@bip.internal;Gianluca Leone
Alessandro Romano;alessandro.romano;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-21T13:57:25Z;alessandro.romano@bip.internal;Micol Marani
Alessandro Gallo;alessandro.gallo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-17T17:04:25Z;alessandro.gallo@bip.internal;Salvatore Apicella
Alessandro Costa;alessandro.costa;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-11-02T12:31:25Z;alessandro.costa@bip.internal;Stefano Maffei
Alessandro Fontana;alessandro.fontana;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-10T16:00:25Z;alessandro.fontana@bip.internal;Gianluca Leone
Alessandro Rinaldi;alessandro.rinaldi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-11-24T19:43:25Z;alessandro.rinaldi@bip.internal;Micol Marani
Alessandro Greco;alessandro.greco;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-13T19:26:25Z;alessandro.greco@bip.internal;Salvatore Apicella
Alessandro Conti;alessandro.conti;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-11-22T03:32:25Z;alessandro.conti@bip.internal;Stefano Maffei
Alessandro Lombardi;alessandro.lombardi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;External;2026-02-06T23:19:25Z;alessandro.lombardi@bip.internal;Gianluca Leone
Alessandro Barbieri;alessandro.barbieri;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-04T18:49:25Z;alessandro.barbieri@bip.internal;Micol Marani
Alessandro Marino;alessandro.marino;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-14T20:13:25Z;alessandro.marino@bip.internal;Salvatore Apicella
Alessandro Colombo;alessandro.colombo;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-05T02:09:25Z;alessandro.colombo@bip.internal;Stefano Maffei
Alessandro Longo;alessandro.longo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-18T04:36:25Z;alessandro.longo@bip.internal;Gianluca Leone
Alessandro Mancini;alessandro.mancini;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,BIP_CYBER_LEAD,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-08-22T20:46:25Z;alessandro.mancini@bip.internal;Micol Marani
Alessandro Ferrari;alessandro.ferrari;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-02T14:59:25Z;alessandro.ferrari@bip.internal;Salvatore Apicella
Alessandro Martinelli;alessandro.martinelli;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-12-06T19:54:25Z;alessandro.martinelli@bip.internal;Stefano Maffei
Alessandro Vitale;alessandro.vitale;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-21T19:24:25Z;alessandro.vitale@bip.internal;Gianluca Leone
Alessandro Caruso;alessandro.caruso;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;External;2025-12-09T08:08:25Z;alessandro.caruso@bip.internal;Micol Marani
Alessandro Serra;alessandro.serra;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-17T17:25:25Z;alessandro.serra@bip.internal;Salvatore Apicella
Alessandro Palumbo;alessandro.palumbo;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-20T16:06:25Z;alessandro.palumbo@bip.internal;Stefano Maffei
Alessandro Sanna;alessandro.sanna;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-11T23:49:25Z;alessandro.sanna@bip.internal;Gianluca Leone
Alessandro Neri;alessandro.neri;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-08-28T02:44:25Z;alessandro.neri@bip.internal;Micol Marani
Alessandro Ferrara;alessandro.ferrara;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-16T02:38:25Z;alessandro.ferrara@bip.internal;Salvatore Apicella
Alessandro De Luca;alessandro.de.luca;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2025-10-04T23:33:25Z;alessandro.de.luca@bip.internal;Stefano Maffei
Alessandro Moretti;alessandro.moretti;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2026-01-08T08:24:25Z;alessandro.moretti@bip.internal;Gianluca Leone
Alessandro Parisi;alessandro.parisi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;Internal;2025-12-11T02:04:25Z;alessandro.parisi@bip.internal;Micol Marani
Alessandro Giordano;alessandro.giordano;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;External;2025-09-29T15:05:25Z;alessandro.giordano@bip.internal;Salvatore Apicella
Alessandro Pellegrini;alessandro.pellegrini;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Administrative;2025-11-27T21:34:25Z;alessandro.pellegrini@bip.internal;Stefano Maffei
Marco Rossi;marco.rossi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-10T12:23:25Z;marco.rossi@bip.internal;Gianluca Leone
Marco Bianchi;marco.bianchi;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-12T20:35:25Z;marco.bianchi@bip.internal;Micol Marani
Marco Esposito;marco.esposito;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-26T00:28:25Z;marco.esposito@bip.internal;Salvatore Apicella
Marco Romano;marco.romano;ERP & SAP;SAP Consultant;BIP_SAP_CORE,INF_IAM_ADMIN,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_SAP_S4_READ,SYS_SIGNAVIO_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-26T02:17:25Z;marco.romano@bip.internal;Stefano Maffei
Marco Gallo;marco.gallo;Data & AI;Data Consultant;BIP_DATA_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_DATABRICKS_READ,SYS_JIRA_READ,SYS_POWERBI_WRITE,SYS_SNOWFLAKE_READ,SYS_TIMESHEET_WRITE;Internal;2025-11-09T02:19:25Z;marco.gallo@bip.internal;Gianluca Leone
Marco Costa;marco.costa;Cybersecurity;Cybersecurity Consultant;BIP_CYBER_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_IAM_AUDIT,SYS_JIRA_READ,SYS_SIEM_READ,SYS_TIMESHEET_WRITE,SYS_VULN_MGMT_READ;Internal;2026-01-13T14:40:25Z;marco.costa@bip.internal;Micol Marani
Marco Fontana;marco.fontana;Cloud & DevOps;Cloud Consultant;BIP_CLOUD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_READ,SYS_CLIENT_PORTAL_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_READ,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-16T23:13:25Z;marco.fontana@bip.internal;Salvatore Apicella
Marco Rinaldi;marco.rinaldi;PMO & Governance;PMO Consultant;BIP_PMO_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_ADMIN,SYS_JIRA_READ,SYS_MSPROJECT_READ,SYS_SHAREPOINT_WRITE,SYS_TIMESHEET_WRITE;External;2025-10-04T14:01:25Z;marco.rinaldi@bip.internal;Stefano Maffei
Marco Greco;marco.greco;Finance Advisory;Finance Consultant;BIP_FINANCE_CORE,BIP_FINANCE_LEAD,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_ERP_FIN_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_TIMESHEET_WRITE;Internal;2025-09-22T08:51:25Z;marco.greco@bip.internal;Gianluca Leone
Marco Conti;marco.conti;HR & Change;HR Change Consultant;BIP_HR_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_JIRA_READ,SYS_LMS_READ,SYS_TIMESHEET_WRITE,SYS_WORKDAY_READ;Internal;2025-09-22T10:25:25Z;marco.conti@bip.internal;Micol Marani
Marco Lombardi;marco.lombardi;Application Modernization;App Modernization Consultant;BIP_APPMOD_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AZURE_DEVOPS_WRITE,SYS_CONFLUENCE_READ,SYS_GITHUB_WRITE,SYS_JIRA_READ,SYS_TIMESHEET_WRITE;Internal;2025-12-24T18:16:25Z;marco.lombardi@bip.internal;Salvatore Apicella
Marco Barbieri;marco.barbieri;Risk & Compliance;Risk Consultant;BIP_RISK_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_AUDIT_PORTAL_READ,SYS_CONFLUENCE_READ,SYS_GRC_READ,SYS_JIRA_READ,SYS_POLICY_MGMT_READ,SYS_TIMESHEET_WRITE;Internal;2025-10-15T20:00:25Z;marco.barbieri@bip.internal;Stefano Maffei
Marco Marino;marco.marino;Strategy & Transformation;Strategy Consultant;BIP_CLIENT_STEERCO,BIP_STRATEGY_CORE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_READ,SYS_POWERBI_READ,SYS_SHAREPOINT_READ,SYS_TIMESHEET_WRITE;Internal;2026-02-06T19:39:25Z;marco.marino@bip.internal;Gianluca Leone
