DisplayName;Department;BusinessRole;AccountType;LastLogon;Ruoli;Username;Email;UPN;EmployeeId;Manager;StatusAD;StatusHR;OrphanGroups
adm_luca.rossi;Engineering Backend;Backend Engineer;Internal;2025-09-06T10:00:55Z;INF_MAIL_READ,INF_STORAGE_VIEW,INF_VPN_ALL,INF_VPN_READ,SYS_AWS_ALL,SYS_AWS_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_GITLAB_WRITE,SYS_JENKINS_WRITE,SYS_JIRA_WRITE,SYS_K8S_READ;;;;;;;;
luca.rossi;Engineering Frontend;Frontend Engineer;Internal;2025-11-25T09:29:55Z;INF_MAIL_READ,INF_STORAGE_READ,INF_VPN_READ,SYS_AWS_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_WRITE,SYS_GITHUB_WRITE,SYS_JENKINS_READ,SYS_JIRA_READ;;;;;;;;
marco.russo;Engineering Mobile;Mobile Engineer;Internal;2025-06-26T07:23:55Z;INF_MAIL_READ,INF_STORAGE_WRITE,INF_VPN_READ,SYS_AWS_READ,SYS_CONFLUENCE_READ,SYS_CONFLUENCE_VIEW,SYS_GITHUB_WRITE,SYS_JENKINS_WRITE,SYS_JIRA_READ;;;;;;;;
svc_qa;Engineering QA;QA Engineer;Technical;2025-05-22T12:58:55Z;INF_MAIL_READ,INF_STORAGE_ADMIN,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JENKINS_VIEW,SYS_JIRA_VIEW,SYS_K8S_READ;;;;;;;;
svc_sre;Platform SRE;SRE Engineer;Internal;2025-10-14T07:40:55Z;INF_MAIL_READ,INF_STORAGE_ALL,INF_VPN_READ,SYS_ARGOCD_WRITE,SYS_AWS_READ,SYS_AZURE_WRITE,SYS_CONFLUENCE_READ,SYS_DATADOG_READ,SYS_GCP_WRITE,SYS_K8S_WRITE;;;;;;;;
giulia.romano;Platform DevOps;DevOps Engineer;Internal;2025-12-16T10:07:55Z;INF_CI_VIEW,INF_MAIL_READ,INF_VPN_READ,SYS_ARGOCD_VIEW,SYS_AWS_READ,SYS_AZURE_WRITE,SYS_CONFLUENCE_READ,SYS_GCP_READ,SYS_JENKINS_VIEW,SYS_K8S_WRITE;;;;;;;;
adm_francesca.marino;Cloud Infrastructure;Cloud Engineer;Internal;2025-06-18T09:55:55Z;INF_CI_READ,INF_MAIL_READ,INF_SECRETS_READ,INF_VPN_READ,SYS_AWS_READ,SYS_AZURE_WRITE,SYS_CONFLUENCE_READ,SYS_DATADOG_WRITE,SYS_GCP_WRITE,SYS_K8S_WRITE;;;;;;;;
francesca.marino;Network Operations;Network Engineer;Internal;2025-07-05T16:44:55Z;INF_BASTION_READ,INF_CI_ADMIN,INF_DNS_READ,INF_FIREWALL_READ,INF_MAIL_READ,INF_NETWORK_WRITE,INF_SIEM_VIEW,INF_VPN_READ,INF_VPN_WRITE,SYS_CONFLUENCE_READ;;;;;;;;
alessandro.gallo;Security SOC;SOC Analyst;Internal;2025-12-02T16:44:55Z;INF_CI_ALL,INF_EDR_WRITE,INF_FIREWALL_WRITE,INF_IAM_READ,INF_MAIL_READ,INF_SIEM_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_VIEW,SYS_SPLUNK_READ;;;;;;;;
alessandro.gallo.rpci;Security GRC;GRC Specialist;Internal;2025-09-30T14:05:55Z;INF_CD_VIEW,INF_MAIL_READ,INF_SIEM_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_SERVICENOW_VIEW,SYS_SPLUNK_VIEW;;;;;;;;
marta.giordano;Security IAM;IAM Specialist;Technical;2025-05-15T15:39:55Z;INF_CD_READ,INF_IAM_WRITE,INF_MAIL_READ,INF_SECRETS_WRITE,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_VIEW,SYS_SERVICENOW_WRITE;;;;;;;;
marta.giordano.mslg;Data Engineering;Data Engineer;Technical;2025-04-18T08:37:55Z;INF_CD_ADMIN,INF_DBAAS_VIEW,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_CONFLUENCE_READ,SYS_GCP_READ,SYS_POWERBI_READ,SYS_SNOWFLAKE_READ;;;;;;;;
davide.lombardi;Data Science;Data Scientist;Technical;2026-01-16T11:40:55Z;INF_CD_ALL,INF_MAIL_READ,INF_VPN_READ,SYS_AWS_READ,SYS_CONFLUENCE_READ,SYS_GCP_WRITE,SYS_JIRA_VIEW,SYS_POWERBI_READ,SYS_SNOWFLAKE_VIEW;;;;;;;;
davide.lombardi.lnwy;Analytics BI;BI Analyst;External;2025-09-02T15:23:55Z;INF_ARTIFACTORY_VIEW,INF_MAIL_READ,INF_VPN_ALL,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_POWERBI_READ,SYS_SAP_VIEW,SYS_SNOWFLAKE_READ;;;;;;;;
elisa.fontana;Product Management;Product Manager;External;2025-10-22T15:10:55Z;INF_ARTIFACTORY_READ,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_VIEW,SYS_POWERBI_VIEW;;;;;;;;
elisa.fontana.cygg;Product Design;Product Designer;Internal;2026-02-02T09:06:55Z;INF_ARTIFACTORY_WRITE,INF_MAIL_READ,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_JIRA_WRITE;;;;;;;;
paolo.rossi;IT Helpdesk;IT Support;Internal;2025-05-03T13:14:55Z;INF_ARTIFACTORY_ADMIN,INF_FILESHARE_WRITE,INF_MAIL_READ,INF_MAIL_WRITE,INF_MDM_WRITE,INF_VPN_READ,SYS_CONFLUENCE_READ,SYS_OKTA_VIEW,SYS_SERVICENOW_WRITE;;;;;;;;
adm_paolo.rossi;IT Operations;IT Ops Specialist;Internal;2025-03-19T08:34:55Z;INF_ARTIFACTORY_ALL,INF_EDR_WRITE,INF_FILESHARE_WRITE,INF_MAIL_READ,INF_MDM_WRITE,INF_VPN_READ,INF_VPN_VIEW,SYS_CONFLUENCE_READ,SYS_SERVICENOW_WRITE;;;;;;;;
